mpg,cylinders,displacement,weight,acceleration,model year,horsepower,origin,car name
14,8,318,4096,13,71,150,1,plymouth fury iii
12,8,383,4955,11.5,71,180,1,dodge monaco (sw)
13,8,400,4746,12,71,170,1,ford country squire (sw)
13,8,400,5140,12,71,175,1,pontiac safari (sw)
18,6,258,2962,13.5,71,110,1,amc hornet sportabout (sw)
22,4,140,2408,19,71,72,1,chevrolet vega (sw)
19,6,250,3282,15,71,100,1,pontiac firebird
18,6,250,3139,14.5,71,88,1,ford mustang
23,4,122,2220,14,71,86,1,mercury capri 2000
28,4,116,2123,14,71,90,2,opel 1900
30,4,79,2074,19.5,71,70,2,peugeot 304
30,4,88,2065,14.5,71,76,2,fiat 124b
31,4,71,1773,19,71,65,3,toyota corolla 1200
35,4,72,1613,18,71,69,3,datsun 1200
27,4,97,1834,19,71,60,2,volkswagen model 111
26,4,91,1955,20.5,71,70,1,plymouth cricket
24,4,113,2278,15.5,72,95,3,toyota corona hardtop
25,4,97.5,2126,17,72,80,1,dodge colt hardtop
23,4,97,2254,23.5,72,54,2,volkswagen type 3
20,4,140,2408,19.5,72,90,1,chevrolet vega
21,4,122,2226,16.5,72,86,1,ford pinto runabout
13,8,350,4274,12,72,165,1,chevrolet impala
14,8,400,4385,12,72,175,1,pontiac catalina
15,8,318,4135,13.5,72,150,1,plymouth fury iii
14,8,351,4129,13,72,153,1,ford galaxie 500
17,8,304,3672,11.5,72,150,1,amc ambassador sst
11,8,429,4633,11,72,208,1,mercury marquis
13,8,350,4502,13.5,72,155,1,buick lesabre custom
12,8,350,4456,13.5,72,160,1,oldsmobile delta 88 royale
13,8,400,4422,12.5,72,190,1,chrysler newport royal
19,3,70,2330,13.5,72,97,3,mazda rx2 coupe
15,8,304,3892,12.5,72,150,1,amc matador (sw)
13,8,307,4098,14,72,130,1,chevrolet chevelle concours (sw)
13,8,302,4294,16,72,140,1,ford gran torino (sw)
14,8,318,4077,14,72,150,1,plymouth satellite custom (sw)
18,4,121,2933,14.5,72,112,2,volvo 145e (sw)
22,4,121,2511,18,72,76,2,volkswagen 411 (sw)
21,4,120,2979,19.5,72,87,2,peugeot 504 (sw)
26,4,96,2189,18,72,69,2,renault 12 (sw)
22,4,122,2395,16,72,86,1,ford pinto (sw)
28,4,97,2288,17,72,92,3,datsun 510 (sw)
23,4,120,2506,14.5,72,97,3,toyouta corona mark ii (sw)
28,4,98,2164,15,72,80,1,dodge colt (sw)
27,4,97,2100,16.5,72,88,3,toyota corolla 1600 (sw)
13,8,350,4100,13,73,175,1,buick century 350
14,8,304,3672,11.5,73,150,1,amc matador
13,8,350,3988,13,73,145,1,chevrolet malibu
14,8,302,4042,14.5,73,137,1,ford gran torino
15,8,318,3777,12.5,73,150,1,dodge coronet custom
12,8,429,4952,11.5,73,198,1,mercury marquis brougham
13,8,400,4464,12,73,150,1,chevrolet caprice classic
13,8,351,4363,13,73,158,1,ford ltd
14,8,318,4237,14.5,73,150,1,plymouth fury gran sedan
13,8,440,4735,11,73,215,1,chrysler new yorker brougham
12,8,455,4951,11,73,225,1,buick electra 225 custom
13,8,360,3821,11,73,175,1,amc ambassador brougham
18,6,225,3121,16.5,73,105,1,plymouth valiant
16,6,250,3278,18,73,100,1,chevrolet nova custom
18,6,232,2945,16,73,100,1,amc hornet
18,6,250,3021,16.5,73,88,1,ford maverick
23,6,198,2904,16,73,95,1,plymouth duster
26,4,97,1950,21,73,46,2,volkswagen super beetle
11,8,400,4997,14,73,150,1,chevrolet impala
12,8,400,4906,12.5,73,167,1,ford country
13,8,360,4654,13,73,170,1,plymouth custom suburb
12,8,350,4499,12.5,73,180,1,oldsmobile vista cruiser
18,6,232,2789,15,73,100,1,amc gremlin
20,4,97,2279,19,73,88,3,toyota carina
21,4,140,2401,19.5,73,72,1,chevrolet vega
22,4,108,2379,16.5,73,94,3,datsun 610
18,3,70,2124,13.5,73,90,3,maxda rx3
19,4,122,2310,18.5,73,85,1,ford pinto
21,6,155,2472,14,73,107,1,mercury capri v6
26,4,98,2265,15.5,73,90,2,fiat 124 sport coupe
15,8,350,4082,13,73,145,1,chevrolet monte carlo s
16,8,400,4278,9.5,73,230,1,pontiac grand prix
29,4,68,1867,19.5,73,49,2,fiat 128
24,4,116,2158,15.5,73,75,2,opel manta
20,4,114,2582,14,73,91,2,audi 100ls
19,4,121,2868,15.5,73,112,2,volvo 144ea
15,8,318,3399,11,73,150,1,dodge dart custom
24,4,121,2660,14,73,110,2,saab 99le
20,6,156,2807,13.5,73,122,3,toyota mark ii
11,8,350,3664,11,73,180,1,oldsmobile omega
20,6,198,3102,16.5,74,95,1,plymouth duster
21,6,200,2875,17,74,,1,ford maverick
19,6,232,2901,16,74,100,1,amc hornet
15,6,250,3336,17,74,100,1,chevrolet nova
31,4,79,1950,19,74,67,3,datsun b210
26,4,122,2451,16.5,74,80,1,ford pinto
32,4,71,1836,21,74,65,3,toyota corolla 1200
25,4,140,2542,17,74,75,1,chevrolet vega
16,6,250,3781,17,74,100,1,chevrolet chevelle malibu classic
16,6,258,3632,18,74,110,1,amc matador
18,6,225,3613,16.5,74,105,1,plymouth satellite sebring
16,8,302,4141,14,74,140,1,ford gran torino
13,8,350,4699,14.5,74,150,1,buick century luxus (sw)
14,8,318,4457,13.5,74,150,1,dodge coronet custom (sw)
14,8,302,4638,16,74,140,1,ford gran torino (sw)
14,8,304,4257,15.5,74,150,1,amc matador (sw)
29,4,98,2219,16.5,74,83,2,audi fox
26,4,79,1963,15.5,74,67,2,volkswagen dasher
26,4,97,2300,14.5,74,78,2,opel manta
31,4,76,1649,16.5,74,52,3,toyota corona
32,4,83,2003,19,74,61,3,datsun 710
28,4,90,2125,14.5,74,75,1,dodge colt
24,4,90,2108,15.5,74,75,2,fiat 128
26,4,116,2246,14,74,75,2,fiat 124 tc
24,4,120,2489,15,74,97,3,honda civic
26,4,108,2391,15.5,74,93,3,subaru
31,4,79,2000,16,74,67,2,fiat x1.9
19,6,225,3264,16,75,95,1,plymouth valiant custom
18,6,250,3459,16,75,105,1,chevrolet nova
15,6,250,3432,21,75,72,1,mercury monarch
15,6,250,3158,19.5,75,72,1,ford maverick
16,8,400,4668,11.5,75,170,1,pontiac catalina
15,8,350,4440,14,75,145,1,chevrolet bel air
16,8,318,4498,14.5,75,150,1,plymouth grand fury
14,8,351,4657,13.5,75,148,1,ford ltd
17,6,231,3907,21,75,110,1,buick century
16,6,250,3897,18.5,75,105,1,chevroelt chevelle malibu
15,6,258,3730,19,75,110,1,amc matador
18,6,225,3785,19,75,95,1,plymouth fury
21,6,231,3039,15,75,110,1,buick skyhawk
20,8,262,3221,13.5,75,110,1,chevrolet monza 2+2
13,8,302,3169,12,75,129,1,ford mustang ii
29,4,97,2171,16,75,75,3,toyota corolla
23,4,140,2639,17,75,83,1,ford pinto
20,6,232,2914,16,75,100,1,amc gremlin
23,4,140,2592,18.5,75,78,1,pontiac astro
24,4,134,2702,13.5,75,96,3,toyota corona
25,4,90,2223,16.5,75,71,2,volkswagen dasher
24,4,119,2545,17,75,97,3,datsun 710
18,6,171,2984,14.5,75,97,1,ford pinto
29,4,90,1937,14,75,70,2,volkswagen rabbit
19,6,232,3211,17,75,90,1,amc pacer
23,4,115,2694,15,75,95,2,audi 100ls
23,4,120,2957,17,75,88,2,peugeot 504
22,4,121,2945,14.5,75,98,2,volvo 244dl
25,4,121,2671,13.5,75,115,2,saab 99le
33,4,91,1795,17.5,75,53,3,honda civic cvcc
28,4,107,2464,15.5,76,86,2,fiat 131
25,4,116,2220,16.9,76,81,2,opel 1900
25,4,140,2572,14.9,76,92,1,capri ii
26,4,98,2255,17.7,76,79,1,dodge colt
27,4,101,2202,15.3,76,83,2,renault 12tl
17.5,8,305,4215,13,76,140,1,chevrolet chevelle malibu classic
16,8,318,4190,13,76,150,1,dodge coronet brougham
15.5,8,304,3962,13.9,76,120,1,amc matador
14.5,8,351,4215,12.8,76,152,1,ford gran torino
22,6,225,3233,15.4,76,100,1,plymouth valiant
22,6,250,3353,14.5,76,105,1,chevrolet nova
24,6,200,3012,17.6,76,81,1,ford maverick
22.5,6,232,3085,17.6,76,90,1,amc hornet
29,4,85,2035,22.2,76,52,1,chevrolet chevette
24.5,4,98,2164,22.1,76,60,1,chevrolet woody
29,4,90,1937,14.2,76,70,2,vw rabbit
33,4,91,1795,17.4,76,53,3,honda civic
20,6,225,3651,17.7,76,100,1,dodge aspen se
18,6,250,3574,21,76,78,1,ford granada ghia
18.5,6,250,3645,16.2,76,110,1,pontiac ventura sj
17.5,6,258,3193,17.8,76,95,1,amc pacer d/l
29.5,4,97,1825,12.2,76,71,2,volkswagen rabbit
32,4,85,1990,17,76,70,3,datsun b-210
28,4,97,2155,16.4,76,75,3,toyota corolla
26.5,4,140,2565,13.6,76,72,1,ford pinto
20,4,130,3150,15.7,76,102,2,volvo 245
13,8,318,3940,13.2,76,150,1,plymouth volare premier v8
19,4,120,3270,21.9,76,88,2,peugeot 504
19,6,156,2930,15.5,76,108,3,toyota mark ii
16.5,6,168,3820,16.7,76,120,2,mercedes-benz 280s
16.5,8,350,4380,12.1,76,180,1,cadillac seville
13,8,350,4055,12,76,145,1,chevy c10
13,8,302,3870,15,76,130,1,ford f108
13,8,318,3755,14,76,150,1,dodge d100
31.5,4,98,2045,18.5,77,68,3,honda accord cvcc
30,4,111,2155,14.8,77,80,1,buick opel isuzu deluxe
36,4,79,1825,18.6,77,58,2,renault 5 gtl
25.5,4,122,2300,15.5,77,96,1,plymouth arrow gs
33.5,4,85,1945,16.8,77,70,3,datsun f-10 hatchback
17.5,8,305,3880,12.5,77,145,1,chevrolet caprice classic
17,8,260,4060,19,77,110,1,oldsmobile cutlass supreme
15.5,8,318,4140,13.7,77,145,1,dodge monaco brougham
15,8,302,4295,14.9,77,130,1,mercury cougar brougham
17.5,6,250,3520,16.4,77,110,1,chevrolet concours
20.5,6,231,3425,16.9,77,105,1,buick skylark
19,6,225,3630,17.7,77,100,1,plymouth volare custom
18.5,6,250,3525,19,77,98,1,ford granada
16,8,400,4220,11.1,77,180,1,pontiac grand prix lj
15.5,8,350,4165,11.4,77,170,1,chevrolet monte carlo landau
15.5,8,400,4325,12.2,77,190,1,chrysler cordoba
16,8,351,4335,14.5,77,149,1,ford thunderbird
29,4,97,1940,14.5,77,78,2,volkswagen rabbit custom
24.5,4,151,2740,16,77,88,1,pontiac sunbird coupe
26,4,97,2265,18.2,77,75,3,toyota corolla liftback
25.5,4,140,2755,15.8,77,89,1,ford mustang ii 2+2
30.5,4,98,2051,17,77,63,1,chevrolet chevette
33.5,4,98,2075,15.9,77,83,1,dodge colt m/m
30,4,97,1985,16.4,77,67,3,subaru dl
30.5,4,97,2190,14.1,77,78,2,volkswagen dasher
22,6,146,2815,14.5,77,97,3,datsun 810
21.5,4,121,2600,12.8,77,110,2,bmw 320i
21.5,3,80,2720,13.5,77,110,3,mazda rx-4
43.1,4,90,1985,21.5,78,48,2,volkswagen rabbit custom diesel
36.1,4,98,1800,14.4,78,66,1,ford fiesta
32.8,4,78,1985,19.4,78,52,3,mazda glc deluxe
39.4,4,85,2070,18.6,78,70,3,datsun b210 gx
36.1,4,91,1800,16.4,78,60,3,honda civic cvcc
19.9,8,260,3365,15.5,78,110,1,oldsmobile cutlass salon brougham
19.4,8,318,3735,13.2,78,140,1,dodge diplomat
20.2,8,302,3570,12.8,78,139,1,mercury monarch ghia
19.2,6,231,3535,19.2,78,105,1,pontiac phoenix lj
20.5,6,200,3155,18.2,78,95,1,chevrolet malibu
20.2,6,200,2965,15.8,78,85,1,ford fairmont (auto)
25.1,4,140,2720,15.4,78,88,1,ford fairmont (man)
20.5,6,225,3430,17.2,78,100,1,plymouth volare
19.4,6,232,3210,17.2,78,90,1,amc concord
20.6,6,231,3380,15.8,78,105,1,buick century special
20.8,6,200,3070,16.7,78,85,1,mercury zephyr
18.6,6,225,3620,18.7,78,110,1,dodge aspen
18.1,6,258,3410,15.1,78,120,1,amc concord d/l
19.2,8,305,3425,13.2,78,145,1,chevrolet monte carlo landau
17.7,6,231,3445,13.4,78,165,1,buick regal sport coupe (turbo)
18.1,8,302,3205,11.2,78,139,1,ford futura
17.5,8,318,4080,13.7,78,140,1,dodge magnum xe
30,4,98,2155,16.5,78,68,1,chevrolet chevette
27.5,4,134,2560,14.2,78,95,3,toyota corona
27.2,4,119,2300,14.7,78,97,3,datsun 510
30.9,4,105,2230,14.5,78,75,1,dodge omni
21.1,4,134,2515,14.8,78,95,3,toyota celica gt liftback
23.2,4,156,2745,16.7,78,105,1,plymouth sapporo
23.8,4,151,2855,17.6,78,85,1,oldsmobile starfire sx
23.9,4,119,2405,14.9,78,97,3,datsun 200-sx
20.3,5,131,2830,15.9,78,103,2,audi 5000
17,6,163,3140,13.6,78,125,2,volvo 264gl
21.6,4,121,2795,15.7,78,115,2,saab 99gle
16.2,6,163,3410,15.8,78,133,2,peugeot 604sl
31.5,4,89,1990,14.9,78,71,2,volkswagen scirocco
29.5,4,98,2135,16.6,78,68,3,honda accord lx
21.5,6,231,3245,15.4,79,115,1,pontiac lemans v6
19.8,6,200,2990,18.2,79,85,1,mercury zephyr 6
22.3,4,140,2890,17.3,79,88,1,ford fairmont 4
20.2,6,232,3265,18.2,79,90,1,amc concord dl 6
20.6,6,225,3360,16.6,79,110,1,dodge aspen 6
17,8,305,3840,15.4,79,130,1,chevrolet caprice classic
17.6,8,302,3725,13.4,79,129,1,ford ltd landau
16.5,8,351,3955,13.2,79,138,1,mercury grand marquis
18.2,8,318,3830,15.2,79,135,1,dodge st. regis
16.9,8,350,4360,14.9,79,155,1,buick estate wagon (sw)
15.5,8,351,4054,14.3,79,142,1,ford country squire (sw)
19.2,8,267,3605,15,79,125,1,chevrolet malibu classic (sw)
18.5,8,360,3940,13,79,150,1,chrysler lebaron town @ country (sw)
31.9,4,89,1925,14,79,71,2,vw rabbit custom
34.1,4,86,1975,15.2,79,65,3,maxda glc deluxe
35.7,4,98,1915,14.4,79,80,1,dodge colt hatchback custom
27.4,4,121,2670,15,79,80,1,amc spirit dl
25.4,5,183,3530,20.1,79,77,2,mercedes benz 300d
23,8,350,3900,17.4,79,125,1,cadillac eldorado
27.2,4,141,3190,24.8,79,71,2,peugeot 504
23.9,8,260,3420,22.2,79,90,1,oldsmobile cutlass salon brougham
34.2,4,105,2200,13.2,79,70,1,plymouth horizon
34.5,4,105,2150,14.9,79,70,1,plymouth horizon tc3
31.8,4,85,2020,19.2,79,65,3,datsun 210
37.3,4,91,2130,14.7,79,69,2,fiat strada custom
28.4,4,151,2670,16,79,90,1,buick skylark limited
28.8,6,173,2595,11.3,79,115,1,chevrolet citation
26.8,6,173,2700,12.9,79,115,1,oldsmobile omega brougham
33.5,4,151,2556,13.2,79,90,1,pontiac phoenix
41.5,4,98,2144,14.7,80,76,2,vw rabbit
38.1,4,89,1968,18.8,80,60,3,toyota corolla tercel
32.1,4,98,2120,15.5,80,70,1,chevrolet chevette
37.2,4,86,2019,16.4,80,65,3,datsun 310
28,4,151,2678,16.5,80,90,1,chevrolet citation
26.4,4,140,2870,18.1,80,88,1,ford fairmont
24.3,4,151,3003,20.1,80,90,1,amc concord
19.1,6,225,3381,18.7,80,90,1,dodge aspen
34.3,4,97,2188,15.8,80,78,2,audi 4000
29.8,4,134,2711,15.5,80,90,3,toyota corona liftback
31.3,4,120,2542,17.5,80,75,3,mazda 626
37,4,119,2434,15,80,92,3,datsun 510 hatchback
32.2,4,108,2265,15.2,80,75,3,toyota corolla
46.6,4,86,2110,17.9,80,65,3,mazda glc
27.9,4,156,2800,14.4,80,105,1,dodge colt
40.8,4,85,2110,19.2,80,65,3,datsun 210
44.3,4,90,2085,21.7,80,48,2,vw rabbit c (diesel)
43.4,4,90,2335,23.7,80,48,2,vw dasher (diesel)
36.4,5,121,2950,19.9,80,67,2,audi 5000s (diesel)
30,4,146,3250,21.8,80,67,2,mercedes-benz 240d
44.6,4,91,1850,13.8,80,67,3,honda civic 1500 gl
40.9,4,85,1835,17.3,80,,2,renault lecar deluxe
33.8,4,97,2145,18,80,67,3,subaru dl
29.8,4,89,1845,15.3,80,62,2,vokswagen rabbit
32.7,6,168,2910,11.4,80,132,3,datsun 280-zx
23.7,3,70,2420,12.5,80,100,3,mazda rx-7 gs
35,4,122,2500,15.1,80,88,2,triumph tr7 coupe
23.6,4,140,2905,14.3,80,,1,ford mustang cobra
32.4,4,107,2290,17,80,72,3,honda accord
27.2,4,135,2490,15.7,81,84,1,plymouth reliant
26.6,4,151,2635,16.4,81,84,1,buick skylark
25.8,4,156,2620,14.4,81,92,1,dodge aries wagon (sw)
23.5,6,173,2725,12.6,81,110,1,chevrolet citation
30,4,135,2385,12.9,81,84,1,plymouth reliant
39.1,4,79,1755,16.9,81,58,3,toyota starlet
39,4,86,1875,16.4,81,64,1,plymouth champ
35.1,4,81,1760,16.1,81,60,3,honda civic 1300
32.3,4,97,2065,17.8,81,67,3,subaru
37,4,85,1975,19.4,81,65,3,datsun 210 mpg
37.7,4,89,2050,17.3,81,62,3,toyota tercel
34.1,4,91,1985,16,81,68,3,mazda glc 4
34.7,4,105,2215,14.9,81,63,1,plymouth horizon 4
34.4,4,98,2045,16.2,81,65,1,ford escort 4w
29.9,4,98,2380,20.7,81,65,1,ford escort 2h
33,4,105,2190,14.2,81,74,2,volkswagen jetta
34.5,4,100,2320,15.8,81,,2,renault 18i
33.7,4,107,2210,14.4,81,75,3,honda prelude
32.4,4,108,2350,16.8,81,75,3,toyota corolla
32.9,4,119,2615,14.8,81,100,3,datsun 200sx
31.6,4,120,2635,18.3,81,74,3,mazda 626
28.1,4,141,3230,20.4,81,80,2,peugeot 505s turbo diesel
30.7,6,145,3160,19.6,81,76,2,volvo diesel
25.4,6,168,2900,12.6,81,116,3,toyota cressida
24.2,6,146,2930,13.8,81,120,3,datsun 810 maxima
22.4,6,231,3415,15.8,81,110,1,buick century
26.6,8,350,3725,19,81,105,1,oldsmobile cutlass ls
20.2,6,200,3060,17.1,81,88,1,ford granada gl
17.6,6,225,3465,16.6,81,85,1,chrysler lebaron salon
28,4,112,2605,19.6,82,88,1,chevrolet cavalier
27,4,112,2640,18.6,82,88,1,chevrolet cavalier wagon
34,4,112,2395,18,82,88,1,chevrolet cavalier 2-door
31,4,112,2575,16.2,82,85,1,pontiac j2000 se hatchback
29,4,135,2525,16,82,84,1,dodge aries se
27,4,151,2735,18,82,90,1,pontiac phoenix
24,4,140,2865,16.4,82,92,1,ford fairmont futura
23,4,151,3035,20.5,82,,1,amc concord dl
36,4,105,1980,15.3,82,74,2,volkswagen rabbit l
37,4,91,2025,18.2,82,68,3,mazda glc custom l
31,4,91,1970,17.6,82,68,3,mazda glc custom
38,4,105,2125,14.7,82,63,1,plymouth horizon miser
36,4,98,2125,17.3,82,70,1,mercury lynx l
36,4,120,2160,14.5,82,88,3,nissan stanza xe
36,4,107,2205,14.5,82,75,3,honda accord
34,4,108,2245,16.9,82,70,3,toyota corolla
38,4,91,1965,15,82,67,3,honda civic
32,4,91,1965,15.7,82,67,3,honda civic (auto)
38,4,91,1995,16.2,82,67,3,datsun 310 gx
25,6,181,2945,16.4,82,110,1,buick century limited
38,6,262,3015,17,82,85,1,oldsmobile cutlass ciera (diesel)
26,4,156,2585,14.5,82,92,1,chrysler lebaron medallion
22,6,232,2835,14.7,82,112,1,ford granada l
32,4,144,2665,13.9,82,96,3,toyota celica gt
36,4,135,2370,13,82,84,1,dodge charger 2.2
27,4,151,2950,17.3,82,90,1,chevrolet camaro
27,4,140,2790,15.6,82,86,1,ford mustang gl
44,4,97,2130,24.6,82,52,2,vw pickup
32,4,135,2295,11.6,82,84,1,dodge rampage
28,4,120,2625,18.6,82,79,1,ford ranger
31,4,119,2720,19.4,82,82,1,chevy s-10
